,time,cases
0,2008.0,0
1,2008.0192307692307,3082
2,2008.0384615384614,3804
3,2008.0576923076922,4680
4,2008.0769230769229,5719
5,2008.0961538461536,6913
6,2008.1153846153843,8219
7,2008.134615384615,9546
8,2008.1538461538457,10743
9,2008.1730769230765,11615
10,2008.1923076923072,11968
11,2008.2115384615379,11680
12,2008.2307692307686,10777
13,2008.2499999999993,9427
14,2008.26923076923,7883
15,2008.2884615384608,6372
16,2008.3076923076915,5040
17,2008.3269230769222,3943
18,2008.346153846153,3076
19,2008.3653846153836,2407
20,2008.3846153846143,1896
21,2008.403846153845,1506
22,2008.4230769230758,1208
23,2008.4423076923065,979
24,2008.4615384615372,802
25,2008.480769230768,664
26,2008.4999999999986,557
27,2008.5192307692294,472
28,2008.53846153846,404
29,2008.5576923076908,350
30,2008.5769230769215,307
31,2008.5961538461522,273
32,2008.615384615383,245
33,2008.6346153846137,222
34,2008.6538461538444,204
35,2008.673076923075,190
36,2008.6923076923058,178
37,2008.7115384615365,169
38,2008.7307692307672,162
39,2008.749999999998,157
40,2008.7692307692287,154
41,2008.7884615384594,152
42,2008.80769230769,152
43,2008.8269230769208,153
44,2008.8461538461515,155
45,2008.8653846153823,159
46,2008.884615384613,163
47,2008.9038461538437,170
48,2008.9230769230744,177
49,2008.9423076923051,186
50,2008.9615384615358,196
51,2008.9807692307666,208
52,2008.9999999999973,222
53,2009.019230769228,237
54,2009.0384615384587,253
55,2009.0576923076894,271
56,2009.0769230769201,291
57,2009.0961538461509,313
58,2009.1153846153816,336
59,2009.1346153846123,360
60,2009.153846153843,385
61,2009.1730769230737,411
62,2009.1923076923044,437
63,2009.2115384615352,463
64,2009.2307692307659,489
65,2009.2499999999966,513
66,2009.2692307692273,536
67,2009.288461538458,555
68,2009.3076923076887,572
69,2009.3269230769195,585
70,2009.3461538461502,594
71,2009.365384615381,598
72,2009.3846153846116,598
73,2009.4038461538423,592
74,2009.423076923073,582
75,2009.4423076923038,567
76,2009.4615384615345,548
77,2009.4807692307652,526
78,2009.499999999996,500
79,2009.5192307692266,472
80,2009.5384615384573,442
81,2009.557692307688,411
82,2009.5769230769188,380
83,2009.5961538461495,349
84,2009.6153846153802,318
85,2009.634615384611,289
86,2009.6538461538416,261
87,2009.6730769230724,235
88,2009.692307692303,211
89,2009.7115384615338,188
90,2009.7307692307645,168
91,2009.7499999999952,149
92,2009.769230769226,133
93,2009.7884615384567,118
94,2009.8076923076874,105
95,2009.826923076918,93
96,2009.8461538461488,83
97,2009.8653846153795,74
98,2009.8846153846102,67
99,2009.903846153841,60
100,2009.9230769230717,55
101,2009.9423076923024,50
102,2009.961538461533,46
103,2009.9807692307638,43
104,2009.9999999999945,40
105,2010.0192307692253,38
106,2010.038461538456,36
107,2010.0576923076867,35
108,2010.0769230769174,35
