time,cases
2008,0
2008.019231,3321
2008.038462,4307
2008.057692,5636
2008.076923,6223
2008.096154,7344
2008.115385,8533
2008.134615,8302
2008.153846,11376
2008.173077,9586
2008.192308,9899
2008.211538,10526
2008.230769,9989
2008.25,7722
2008.269231,6323
2008.288462,4852
2008.307692,4775
2008.326923,4236
2008.346154,3275
2008.365385,2846
2008.384615,2870
2008.403846,2489
2008.423077,1553
2008.442308,1337
2008.461538,1344
2008.480769,1101
2008.5,859
2008.519231,676
2008.538462,729
2008.557692,571
2008.576923,617
2008.596154,628
2008.615385,598
2008.634615,436
2008.653846,452
2008.673077,350
2008.692308,428
2008.711538,377
2008.730769,365
2008.75,467
2008.769231,322
2008.788462,386
2008.807692,372
2008.826923,398
2008.846154,415
2008.865385,430
2008.884615,339
2008.903846,396
2008.923077,435
2008.942308,441
2008.961538,428
2008.980769,432
2009,574
2009.019231,511
2009.038462,524
2009.057692,528
2009.076923,558
2009.096154,681
2009.115385,656
2009.134615,806
2009.153846,730
2009.173077,786
2009.192308,771
2009.211538,729
2009.230769,798
2009.25,732
2009.269231,823
2009.288462,873
2009.307692,610
2009.326923,650
2009.346154,775
2009.365385,632
2009.384615,582
2009.403846,565
2009.423077,468
2009.442308,476
2009.461538,480
2009.480769,395
2009.5,475
2009.519231,441
2009.538462,296
2009.557692,279
2009.576923,302
2009.596154,217
2009.615385,242
2009.634615,223
2009.653846,159
2009.673077,163
2009.692308,129
2009.711538,118
2009.730769,101
2009.75,93
2009.769231,74
2009.788462,61
2009.807692,63
2009.826923,53
2009.846154,37
2009.865385,34
2009.884615,35
2009.903846,27
2009.923077,17
2009.942308,28
2009.961538,21
2009.980769,27
2010,12
2010.019231,21
2010.038462,12
2010.057692,28
2010.076923,20
2010.096154,10
2010.115385,19
2010.134615,13
2010.153846,15
2010.173077,17
2010.192308,21
2010.211538,20
2010.230769,16
2010.25,24
2010.269231,32
2010.288462,33
2010.307692,26
2010.326923,40
2010.346154,40
2010.365385,54
2010.384615,77
2010.403846,83
2010.423077,151
2010.442308,146
2010.461538,234
2010.480769,262
2010.5,426
2010.519231,755
2010.538462,993
2010.557692,1238
2010.576923,1951
2010.596154,3066
2010.615385,4642
2010.634615,4760
2010.653846,7929
2010.673077,9940
2010.692308,11905
2010.711538,10179
2010.730769,9412
2010.75,9368
2010.769231,6649
2010.788462,4775
2010.807692,3406
2010.826923,2552
2010.846154,2349
2010.865385,1419
2010.884615,1034
2010.903846,1045
2010.923077,781
2010.942308,682
2010.961538,537
2010.980769,377
2011,337
2011.019231,206
2011.038462,243
2011.057692,199
2011.076923,164
2011.096154,156
2011.115385,96
2011.134615,112
2011.153846,88
2011.173077,75
2011.192308,70
2011.211538,53
2011.230769,44
2011.25,35
2011.269231,40
2011.288462,30
2011.307692,29
2011.326923,16
2011.346154,24
2011.365385,17
2011.384615,12
2011.403846,19
2011.423077,11
2011.442308,11
2011.461538,8
2011.480769,8
2011.5,9
2011.519231,5
2011.538462,9
2011.557692,1
2011.576923,4
2011.596154,4
2011.615385,3
2011.634615,2
2011.653846,1
2011.673077,2
2011.692308,0
2011.711538,1
2011.730769,4
2011.75,0
2011.769231,0
2011.788462,0
2011.807692,0
2011.826923,1
2011.846154,0
2011.865385,1
2011.884615,0
2011.903846,0
2011.923077,0
2011.942308,0
2011.961538,0
2011.980769,0
2012,1
2012.019231,0
2012.038462,0
2012.057692,0
2012.076923,0
2012.096154,0
2012.115385,0
2012.134615,0
2012.153846,1
2012.173077,0
2012.192308,0
2012.211538,0
2012.230769,0
2012.25,0
2012.269231,0
2012.288462,0
2012.307692,0
2012.326923,0
2012.346154,0
2012.365385,0
2012.384615,1
2012.403846,0
2012.423077,0
2012.442308,1
2012.461538,1
2012.480769,0
2012.5,1
2012.519231,1
2012.538462,3
2012.557692,1
2012.576923,7
2012.596154,4
2012.615385,5
2012.634615,9
2012.653846,21
2012.673077,23
2012.692308,39
2012.711538,59
2012.730769,95
2012.75,179
2012.769231,333
2012.788462,555
2012.807692,1009
2012.826923,1882
2012.846154,3164
2012.865385,5374
2012.884615,10372
2012.903846,10432
2012.923077,13607
2012.942308,15010
2012.961538,11467
2012.980769,9791
2013,7322
2013.019231,4517
2013.038462,3359
2013.057692,2263
2013.076923,1567
2013.096154,1306
2013.115385,926
2013.134615,692
2013.153846,518
2013.173077,482
2013.192308,334
2013.211538,265
2013.230769,153
2013.25,145
2013.269231,129
2013.288462,124
2013.307692,91
2013.326923,58
2013.346154,51
2013.365385,51
2013.384615,32
2013.403846,24
2013.423077,21
2013.442308,26
2013.461538,12
2013.480769,14
2013.5,11
2013.519231,7
2013.538462,4
2013.557692,2
2013.576923,8
2013.596154,1
2013.615385,2
2013.634615,3
2013.653846,0
2013.673077,0
2013.692308,0
2013.711538,0
2013.730769,0
2013.75,0
2013.769231,0
2013.788462,0
2013.807692,0
2013.826923,0
2013.846154,1
2013.865385,0
2013.884615,0
2013.903846,1
2013.923077,0
2013.942308,0
2013.961538,0
2013.980769,0
2014,0
2014.019231,0
2014.038462,0
2014.057692,0
2014.076923,0
2014.096154,0
2014.115385,0
2014.134615,0
2014.153846,0
2014.173077,0
2014.192308,0
2014.211538,0
2014.230769,0
2014.25,0
2014.269231,0
2014.288462,0
2014.307692,0
2014.326923,0
2014.346154,0
2014.365385,0
2014.384615,0
2014.403846,0
2014.423077,0
2014.442308,0
2014.461538,0
2014.480769,0
2014.5,0
2014.519231,0
2014.538462,0
2014.557692,0
2014.576923,0
2014.596154,0
2014.615385,0
2014.634615,0
2014.653846,1
2014.673077,1
2014.692308,0
2014.711538,1
2014.730769,0
2014.75,2
2014.769231,6
2014.788462,10
2014.807692,17
2014.826923,20
2014.846154,33
2014.865385,85
2014.884615,85
2014.903846,202
2014.923077,359
2014.942308,735
2014.961538,983
2014.980769,1603
2015,3047
2015.019231,4007
2015.038462,6948
2015.057692,9104
2015.076923,12848
2015.096154,12480
2015.115385,11179
2015.134615,9944
2015.153846,7042
2015.173077,5472
2015.192308,4736
2015.211538,2668
2015.230769,2237
2015.25,1503
2015.269231,1121
2015.288462,806
2015.307692,780
2015.326923,516
2015.346154,351
2015.365385,269
2015.384615,226
2015.403846,178
2015.423077,140
2015.442308,105
2015.461538,94
2015.480769,85
2015.5,68
2015.519231,48
2015.538462,18
2015.557692,34
2015.576923,11
2015.596154,18
2015.615385,14
2015.634615,3
2015.653846,4
2015.673077,5
2015.692308,5
2015.711538,4
2015.730769,1
2015.75,1
2015.769231,0
2015.788462,1
2015.807692,1
2015.826923,1
2015.846154,0
2015.865385,0
2015.884615,1
2015.903846,1
2015.923077,0
2015.942308,0
2015.961538,1
2015.980769,1
2016,0
2016.019231,0
2016.038462,0
2016.057692,0
2016.076923,0
2016.096154,0
2016.115385,0
2016.134615,0
2016.153846,0
2016.173077,0
2016.192308,0
2016.211538,0
2016.230769,0
2016.25,0
2016.269231,0
2016.288462,0
2016.307692,0
2016.326923,0
2016.346154,0
2016.365385,0
2016.384615,0
2016.403846,0
2016.423077,0
2016.442308,0
2016.461538,0
2016.480769,0
2016.5,1
2016.519231,0
2016.538462,0
2016.557692,0
2016.576923,0
2016.596154,0
2016.615385,1
2016.634615,2
2016.653846,1
2016.673077,0
2016.692308,1
2016.711538,2
2016.730769,1
2016.75,3
2016.769231,12
2016.788462,10
2016.807692,20
2016.826923,40
2016.846154,54
2016.865385,79
2016.884615,134
2016.903846,257
2016.923077,364
2016.942308,457
2016.961538,987
2016.980769,1704
2017,2364
2017.019231,3566
2017.038462,4870
2017.057692,7222
2017.076923,11111
2017.096154,12742
2017.115385,9620
2017.134615,9316
2017.153846,6955
2017.173077,6071
2017.192308,3407
2017.211538,2818
2017.230769,2310
2017.25,1802
2017.269231,1142
2017.288462,971
2017.307692,881
2017.326923,552
2017.346154,541
2017.365385,354
2017.384615,272
2017.403846,208
2017.423077,158
2017.442308,150
2017.461538,128
2017.480769,89
2017.5,61
2017.519231,62
2017.538462,41
2017.557692,27
2017.576923,29
2017.596154,19
2017.615385,19
2017.634615,11
2017.653846,15
2017.673077,7
2017.692308,10
2017.711538,6
2017.730769,1
2017.75,3
2017.769231,4
2017.788462,1
2017.807692,1
2017.826923,2
2017.846154,0
2017.865385,0
2017.884615,1
2017.903846,0
2017.923077,0
2017.942308,0
2017.961538,1
2017.980769,0
2018,0
2018.019231,0
2018.038462,0
2018.057692,0
2018.076923,0
2018.096154,0
2018.115385,0
2018.134615,0
2018.153846,0
2018.173077,1
2018.192308,0
2018.211538,0
2018.230769,0
2018.25,0
2018.269231,0
2018.288462,0
2018.307692,0
2018.326923,0
2018.346154,0
2018.365385,0
2018.384615,0
2018.403846,0
2018.423077,0
2018.442308,0
2018.461538,0
2018.480769,0
2018.5,0
2018.519231,1
2018.538462,0
